,Unnamed: 0,db,spectra,filepath,filename,adjusted_unique_filename,oulucasia-patient,oulucasia-emotion,filetype,race,expression,valence,arousal,expression_name,casia-session,casia-patient,casia-img_id,buaa-patient,buaa-image_type,customdb-patient,new_filetype,split
5129,9155,oulucasia,nir,data/B_OriginalImg/NI/Strong/P032/Surprise/011.jpeg,011.jpeg,oulucasia-P032-Surprise-011.jpg,P032,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5130,9156,oulucasia,nir,data/B_OriginalImg/NI/Strong/P032/Surprise/019.jpeg,019.jpeg,oulucasia-P032-Surprise-019.jpg,P032,Surprise,jpeg,cauca,3.0,0.4,0.67,Surprise,,,,,,,jpg,train
5131,9157,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Anger/009.jpeg,009.jpeg,oulucasia-P033-Anger-009.jpg,P033,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5132,9158,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Anger/002.jpeg,002.jpeg,oulucasia-P033-Anger-002.jpg,P033,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5133,9159,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Anger/019.jpeg,019.jpeg,oulucasia-P033-Anger-019.jpg,P033,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
5134,9160,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Anger/020.jpeg,020.jpeg,oulucasia-P033-Anger-020.jpg,P033,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
5135,9161,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Anger/015.jpeg,015.jpeg,oulucasia-P033-Anger-015.jpg,P033,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5136,9162,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Disgust/003.jpeg,003.jpeg,oulucasia-P033-Disgust-003.jpg,P033,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5137,9163,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Disgust/010.jpeg,010.jpeg,oulucasia-P033-Disgust-010.jpg,P033,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
5138,9164,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Disgust/015.jpeg,015.jpeg,oulucasia-P033-Disgust-015.jpg,P033,Disgust,jpeg,cauca,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
5139,9165,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Disgust/008.jpeg,008.jpeg,oulucasia-P033-Disgust-008.jpg,P033,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
5140,9166,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Disgust/000.jpeg,000.jpeg,oulucasia-P033-Disgust-000.jpg,P033,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5141,9167,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Fear/012.jpeg,012.jpeg,oulucasia-P033-Fear-012.jpg,P033,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5142,9168,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Fear/015.jpeg,015.jpeg,oulucasia-P033-Fear-015.jpg,P033,Fear,jpeg,cauca,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
5143,9169,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Fear/003.jpeg,003.jpeg,oulucasia-P033-Fear-003.jpg,P033,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5144,9170,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Fear/013.jpeg,013.jpeg,oulucasia-P033-Fear-013.jpg,P033,Fear,jpeg,cauca,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
5145,9171,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Fear/008.jpeg,008.jpeg,oulucasia-P033-Fear-008.jpg,P033,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5146,9172,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Happiness/013.jpeg,013.jpeg,oulucasia-P033-Happiness-013.jpg,P033,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,train
5147,9173,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Happiness/002.jpeg,002.jpeg,oulucasia-P033-Happiness-002.jpg,P033,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5148,9174,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Happiness/007.jpeg,007.jpeg,oulucasia-P033-Happiness-007.jpg,P033,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5149,9175,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Happiness/004.jpeg,004.jpeg,oulucasia-P033-Happiness-004.jpg,P033,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5150,9176,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Happiness/014.jpeg,014.jpeg,oulucasia-P033-Happiness-014.jpg,P033,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,train
5151,9177,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Sadness/004.jpeg,004.jpeg,oulucasia-P033-Sadness-004.jpg,P033,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5152,9178,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Sadness/003.jpeg,003.jpeg,oulucasia-P033-Sadness-003.jpg,P033,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5153,9179,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Sadness/013.jpeg,013.jpeg,oulucasia-P033-Sadness-013.jpg,P033,Sadness,jpeg,cauca,2.0,-0.63,-0.27,Sad,,,,,,,jpg,train
5154,9180,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Sadness/009.jpeg,009.jpeg,oulucasia-P033-Sadness-009.jpg,P033,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
5155,9181,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Sadness/014.jpeg,014.jpeg,oulucasia-P033-Sadness-014.jpg,P033,Sadness,jpeg,cauca,2.0,-0.63,-0.27,Sad,,,,,,,jpg,train
5156,9182,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Surprise/008.jpeg,008.jpeg,oulucasia-P033-Surprise-008.jpg,P033,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5157,9183,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Surprise/009.jpeg,009.jpeg,oulucasia-P033-Surprise-009.jpg,P033,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5158,9184,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Surprise/006.jpeg,006.jpeg,oulucasia-P033-Surprise-006.jpg,P033,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5159,9185,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Surprise/010.jpeg,010.jpeg,oulucasia-P033-Surprise-010.jpg,P033,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5160,9186,oulucasia,nir,data/B_OriginalImg/NI/Strong/P033/Surprise/011.jpeg,011.jpeg,oulucasia-P033-Surprise-011.jpg,P033,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5161,9187,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Anger/003.jpeg,003.jpeg,oulucasia-P034-Anger-003.jpg,P034,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5162,9188,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Anger/017.jpeg,017.jpeg,oulucasia-P034-Anger-017.jpg,P034,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,test
5163,9189,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Anger/013.jpeg,013.jpeg,oulucasia-P034-Anger-013.jpg,P034,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,test
5164,9190,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Anger/002.jpeg,002.jpeg,oulucasia-P034-Anger-002.jpg,P034,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5165,9191,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Anger/021.jpeg,021.jpeg,oulucasia-P034-Anger-021.jpg,P034,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,test
5166,9192,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Disgust/008.jpeg,008.jpeg,oulucasia-P034-Disgust-008.jpg,P034,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,test
5167,9193,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Disgust/001.jpeg,001.jpeg,oulucasia-P034-Disgust-001.jpg,P034,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5168,9194,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Disgust/012.jpeg,012.jpeg,oulucasia-P034-Disgust-012.jpg,P034,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,test
5169,9195,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Disgust/016.jpeg,016.jpeg,oulucasia-P034-Disgust-016.jpg,P034,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,test
5170,9196,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Disgust/014.jpeg,014.jpeg,oulucasia-P034-Disgust-014.jpg,P034,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,test
5171,9197,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Fear/007.jpeg,007.jpeg,oulucasia-P034-Fear-007.jpg,P034,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
5172,9198,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Fear/003.jpeg,003.jpeg,oulucasia-P034-Fear-003.jpg,P034,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5173,9199,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Fear/010.jpeg,010.jpeg,oulucasia-P034-Fear-010.jpg,P034,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
5174,9200,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Fear/001.jpeg,001.jpeg,oulucasia-P034-Fear-001.jpg,P034,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5175,9201,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Fear/004.jpeg,004.jpeg,oulucasia-P034-Fear-004.jpg,P034,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,test
5176,9202,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Happiness/019.jpeg,019.jpeg,oulucasia-P034-Happiness-019.jpg,P034,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,test
5177,9203,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Happiness/006.jpeg,006.jpeg,oulucasia-P034-Happiness-006.jpg,P034,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,test
5178,9204,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Happiness/004.jpeg,004.jpeg,oulucasia-P034-Happiness-004.jpg,P034,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5179,9205,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Happiness/005.jpeg,005.jpeg,oulucasia-P034-Happiness-005.jpg,P034,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5180,9206,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Happiness/010.jpeg,010.jpeg,oulucasia-P034-Happiness-010.jpg,P034,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,test
5181,9207,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Sadness/012.jpeg,012.jpeg,oulucasia-P034-Sadness-012.jpg,P034,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
5182,9208,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Sadness/005.jpeg,005.jpeg,oulucasia-P034-Sadness-005.jpg,P034,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
5183,9209,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Sadness/008.jpeg,008.jpeg,oulucasia-P034-Sadness-008.jpg,P034,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
5184,9210,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Sadness/011.jpeg,011.jpeg,oulucasia-P034-Sadness-011.jpg,P034,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,test
5185,9211,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Sadness/001.jpeg,001.jpeg,oulucasia-P034-Sadness-001.jpg,P034,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,test
5186,9212,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Surprise/004.jpeg,004.jpeg,oulucasia-P034-Surprise-004.jpg,P034,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
5187,9213,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Surprise/014.jpeg,014.jpeg,oulucasia-P034-Surprise-014.jpg,P034,Surprise,jpeg,cauca,3.0,0.4,0.67,Surprise,,,,,,,jpg,test
5188,9214,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Surprise/008.jpeg,008.jpeg,oulucasia-P034-Surprise-008.jpg,P034,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
5189,9215,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Surprise/005.jpeg,005.jpeg,oulucasia-P034-Surprise-005.jpg,P034,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
5190,9216,oulucasia,nir,data/B_OriginalImg/NI/Strong/P034/Surprise/010.jpeg,010.jpeg,oulucasia-P034-Surprise-010.jpg,P034,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,test
5191,9217,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Anger/035.jpeg,035.jpeg,oulucasia-P035-Anger-035.jpg,P035,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
5192,9218,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Anger/031.jpeg,031.jpeg,oulucasia-P035-Anger-031.jpg,P035,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5193,9219,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Anger/002.jpeg,002.jpeg,oulucasia-P035-Anger-002.jpg,P035,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5194,9220,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Anger/019.jpeg,019.jpeg,oulucasia-P035-Anger-019.jpg,P035,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5195,9221,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Anger/011.jpeg,011.jpeg,oulucasia-P035-Anger-011.jpg,P035,Anger,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5196,9222,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Disgust/017.jpeg,017.jpeg,oulucasia-P035-Disgust-017.jpg,P035,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
5197,9223,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Disgust/020.jpeg,020.jpeg,oulucasia-P035-Disgust-020.jpg,P035,Disgust,jpeg,cauca,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
5198,9224,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Disgust/009.jpeg,009.jpeg,oulucasia-P035-Disgust-009.jpg,P035,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
5199,9225,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Disgust/004.jpeg,004.jpeg,oulucasia-P035-Disgust-004.jpg,P035,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5200,9226,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Disgust/021.jpeg,021.jpeg,oulucasia-P035-Disgust-021.jpg,P035,Disgust,jpeg,cauca,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
5201,9227,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Fear/017.jpeg,017.jpeg,oulucasia-P035-Fear-017.jpg,P035,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5202,9228,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Fear/031.jpeg,031.jpeg,oulucasia-P035-Fear-031.jpg,P035,Fear,jpeg,cauca,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
5203,9229,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Fear/033.jpeg,033.jpeg,oulucasia-P035-Fear-033.jpg,P035,Fear,jpeg,cauca,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
5204,9230,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Fear/027.jpeg,027.jpeg,oulucasia-P035-Fear-027.jpg,P035,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5205,9231,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Fear/025.jpeg,025.jpeg,oulucasia-P035-Fear-025.jpg,P035,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5206,9232,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Happiness/012.jpeg,012.jpeg,oulucasia-P035-Happiness-012.jpg,P035,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5207,9233,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Happiness/019.jpeg,019.jpeg,oulucasia-P035-Happiness-019.jpg,P035,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,train
5208,9234,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Happiness/006.jpeg,006.jpeg,oulucasia-P035-Happiness-006.jpg,P035,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5209,9235,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Happiness/004.jpeg,004.jpeg,oulucasia-P035-Happiness-004.jpg,P035,Happiness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5210,9236,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Happiness/010.jpeg,010.jpeg,oulucasia-P035-Happiness-010.jpg,P035,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5211,9237,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Sadness/017.jpeg,017.jpeg,oulucasia-P035-Sadness-017.jpg,P035,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
5212,9238,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Sadness/015.jpeg,015.jpeg,oulucasia-P035-Sadness-015.jpg,P035,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
5213,9239,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Sadness/007.jpeg,007.jpeg,oulucasia-P035-Sadness-007.jpg,P035,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
5214,9240,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Sadness/002.jpeg,002.jpeg,oulucasia-P035-Sadness-002.jpg,P035,Sadness,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5215,9241,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Sadness/021.jpeg,021.jpeg,oulucasia-P035-Sadness-021.jpg,P035,Sadness,jpeg,cauca,2.0,-0.63,-0.27,Sad,,,,,,,jpg,train
5216,9242,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Surprise/010.jpeg,010.jpeg,oulucasia-P035-Surprise-010.jpg,P035,Surprise,jpeg,cauca,3.0,0.2,0.335,Surprise,,,,,,,jpg,train
5217,9243,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Surprise/002.jpeg,002.jpeg,oulucasia-P035-Surprise-002.jpg,P035,Surprise,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5218,9244,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Surprise/000.jpeg,000.jpeg,oulucasia-P035-Surprise-000.jpg,P035,Surprise,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5219,9245,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Surprise/017.jpeg,017.jpeg,oulucasia-P035-Surprise-017.jpg,P035,Surprise,jpeg,cauca,3.0,0.4,0.67,Surprise,,,,,,,jpg,train
5220,9246,oulucasia,nir,data/B_OriginalImg/NI/Strong/P035/Surprise/004.jpeg,004.jpeg,oulucasia-P035-Surprise-004.jpg,P035,Surprise,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5221,9247,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Anger/015.jpeg,015.jpeg,oulucasia-P036-Anger-015.jpg,P036,Anger,jpeg,cauca,6.0,-0.51,0.59,Anger,,,,,,,jpg,train
5222,9248,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Anger/009.jpeg,009.jpeg,oulucasia-P036-Anger-009.jpg,P036,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5223,9249,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Anger/006.jpeg,006.jpeg,oulucasia-P036-Anger-006.jpg,P036,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5224,9250,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Anger/010.jpeg,010.jpeg,oulucasia-P036-Anger-010.jpg,P036,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5225,9251,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Anger/005.jpeg,005.jpeg,oulucasia-P036-Anger-005.jpg,P036,Anger,jpeg,cauca,6.0,-0.255,0.295,Anger,,,,,,,jpg,train
5226,9252,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Disgust/021.jpeg,021.jpeg,oulucasia-P036-Disgust-021.jpg,P036,Disgust,jpeg,cauca,5.0,-0.6,0.35,Disgust,,,,,,,jpg,train
5227,9253,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Disgust/012.jpeg,012.jpeg,oulucasia-P036-Disgust-012.jpg,P036,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
5228,9254,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Disgust/001.jpeg,001.jpeg,oulucasia-P036-Disgust-001.jpg,P036,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5229,9255,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Disgust/003.jpeg,003.jpeg,oulucasia-P036-Disgust-003.jpg,P036,Disgust,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5230,9256,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Disgust/007.jpeg,007.jpeg,oulucasia-P036-Disgust-007.jpg,P036,Disgust,jpeg,cauca,5.0,-0.3,0.175,Disgust,,,,,,,jpg,train
5231,9257,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Fear/014.jpeg,014.jpeg,oulucasia-P036-Fear-014.jpg,P036,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5232,9258,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Fear/013.jpeg,013.jpeg,oulucasia-P036-Fear-013.jpg,P036,Fear,jpeg,cauca,4.0,-0.32,0.3,Fear,,,,,,,jpg,train
5233,9259,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Fear/001.jpeg,001.jpeg,oulucasia-P036-Fear-001.jpg,P036,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5234,9260,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Fear/018.jpeg,018.jpeg,oulucasia-P036-Fear-018.jpg,P036,Fear,jpeg,cauca,4.0,-0.64,0.6,Fear,,,,,,,jpg,train
5235,9261,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Fear/004.jpeg,004.jpeg,oulucasia-P036-Fear-004.jpg,P036,Fear,jpeg,cauca,0.0,0.0,0.0,Neutral,,,,,,,jpg,train
5236,9262,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Happiness/008.jpeg,008.jpeg,oulucasia-P036-Happiness-008.jpg,P036,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5237,9263,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Happiness/012.jpeg,012.jpeg,oulucasia-P036-Happiness-012.jpg,P036,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5238,9264,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Happiness/017.jpeg,017.jpeg,oulucasia-P036-Happiness-017.jpg,P036,Happiness,jpeg,cauca,1.0,0.81,0.51,Happy,,,,,,,jpg,train
5239,9265,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Happiness/014.jpeg,014.jpeg,oulucasia-P036-Happiness-014.jpg,P036,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5240,9266,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Happiness/010.jpeg,010.jpeg,oulucasia-P036-Happiness-010.jpg,P036,Happiness,jpeg,cauca,1.0,0.405,0.255,Happy,,,,,,,jpg,train
5241,9267,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Sadness/009.jpeg,009.jpeg,oulucasia-P036-Sadness-009.jpg,P036,Sadness,jpeg,cauca,2.0,-0.315,-0.135,Sad,,,,,,,jpg,train
5242,9268,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Sadness/016.jpeg,016.jpeg,oulucasia-P036-Sadness-016.jpg,P036,Sadness,jpeg,cauca,2.0,-0.63,-0.27,Sad,,,,,,,jpg,train
5243,9269,oulucasia,nir,data/B_OriginalImg/NI/Strong/P036/Sadness/017.jpeg,017.jpeg,oulucasia-P036-Sadness-017.jpg,P036,Sadness,jpeg,cauca,2.0,-0.63,-0.27,Sad,,,,,,,jpg,train
